Measure_Name,Staff_Number,Month,Passed_Count,Denominator
PUL03,20585,2017-07-01,10,10
PUL03,20585,2017-12-01,15,15
PUL03,20586,2017-11-01,12,12
PUL03,20607,2017-07-01,30,30
PUL03,20607,2017-08-01,25,27
PUL03,20607,2017-09-01,20,20
PUL03,20607,2017-10-01,13,14
PUL03,20607,2017-11-01,32,33
PUL03,20607,2017-12-01,22,22
PUL03,20609,2017-08-01,12,12
PUL03,20609,2017-10-01,15,15
PUL03,20609,2017-12-01,12,16
PUL03,20615,2017-07-01,20,20
PUL03,20615,2017-08-01,24,24
PUL03,20615,2017-09-01,21,21
PUL03,20615,2017-10-01,27,28
PUL03,20615,2017-11-01,23,24
PUL03,20615,2017-12-01,20,21
PUL03,20621,2017-07-01,13,13
PUL03,20621,2017-08-01,17,17
PUL03,20621,2017-09-01,18,20
PUL03,20621,2017-10-01,18,20
PUL03,20621,2017-11-01,15,16
PUL03,20621,2017-12-01,13,15
PUL03,20629,2017-07-01,18,18
PUL03,20629,2017-08-01,15,15
PUL03,20629,2017-10-01,11,11
PUL03,20629,2017-11-01,12,12
PUL03,20630,2017-12-01,9,10
PUL03,20633,2017-07-01,20,20
PUL03,20633,2017-08-01,28,28
PUL03,20633,2017-09-01,11,12
PUL03,20633,2017-10-01,22,22
PUL03,20633,2017-11-01,26,26
PUL03,20633,2017-12-01,16,16
PUL03,20643,2017-07-01,9,10
PUL03,20643,2017-08-01,9,10
PUL03,20671,2017-07-01,10,10
PUL03,20671,2017-08-01,20,22
PUL03,20671,2017-10-01,17,18
PUL03,20671,2017-11-01,19,23
PUL03,20671,2017-12-01,25,25
PUL03,20683,2017-12-01,11,12
PUL03,20686,2017-08-01,10,10
PUL03,20686,2017-09-01,6,14
PUL03,20686,2017-11-01,10,15
PUL03,20687,2017-10-01,11,11
PUL03,20689,2017-07-01,10,13
PUL03,20689,2017-10-01,8,10
PUL03,20699,2017-08-01,19,19
PUL03,20699,2017-10-01,17,18
PUL03,20699,2017-12-01,9,12
